TILENAME,RA_CENT,DEC_CENT
DES0840+1334,130.18591900,13.58051900
DES1244-3249,191.08990000,-32.82225900
DES1106+1000,166.54955900,10.01107400
DES0743+2500,115.86533700,25.00274100
DES1041-3415,160.27824200,-34.25003700
DES0727+2625,111.91302200,26.43051900
DES0910-1707,137.59837700,-17.11670400
DES1142+1252,175.69017300,12.86663000
DES1149+2417,177.37768300,24.28885200
DES0736+0126,114.23834800,1.44440700
DES0903+2417,135.86719000,24.28885200
DES0807+2708,121.98035800,27.14440700
DES0915+2708,138.82759300,27.14440700
DES1140-2332,175.08591400,-23.54170400
DES0838+2417,129.60145600,24.28885200
DES1458+1209,224.62776600,12.15274100
DES1253-1332,193.30721500,-13.54725900
DES1640-2124,250.07065400,-21.40003700
DES1444-0624,221.02886500,-6.40837000
DES1259-4206,194.99672300,-42.10281500
DES1414-2541,213.64093800,-25.68337000
DES1602+1209,240.69335600,12.15274100
DES1552-3832,238.06556800,-38.53337000
DES1207+2917,181.83220500,29.28607400
DES1217-4206,184.41265600,-42.10281500
DES0931+2000,142.91949000,20.00551900
DES0802+0500,120.67314800,5.01385200
DES0912-0707,138.02648100,-7.12225900
DES1117+0752,169.39858200,7.86940700
DES1308+1334,197.01839500,13.58051900
DES0808+0500,122.10641000,5.01385200
DES1100+0752,165.07452800,7.86940700
DES1341+1417,205.25876400,14.29440700
DES1133-3249,173.25024800,-32.82225900
DES1634-1415,248.67449800,-14.26114800
DES0926+1834,141.69310600,18.57774100
DES0926+1126,141.51887200,11.43885200
DES0942+0418,145.52114500,4.29996300
DES1217-0250,184.46685100,-2.83892600
DES1542+0752,235.70075300,7.86940700
DES1017+1500,154.46875400,15.00829600
DES1102+0043,165.59540700,0.73051900
DES1250+1417,192.73491100,14.29440700
DES1451-3123,222.76797600,-31.39448100
DES1323+2500,200.93769700,25.00274100
DES1338-1915,204.62668400,-19.25837000
DES0948-2541,147.10026100,-25.68337000
DES0924+2126,141.24349300,21.43329600
DES1002+0001,150.58338000,0.01663000
DES0942-2958,145.73438800,-29.96670400
DES1055+2917,163.82512700,29.28607400
DES0931-1207,142.81080700,-12.11948100
DES1312-0624,198.04078400,-6.40837000
DES1148-2958,177.04833400,-29.96670400
DES0952+2500,148.16132500,25.00274100
DES1229-0458,187.30598200,-4.98059300
DES1552-2915,238.20354700,-29.25281500
DES1245-4623,191.32608400,-46.38614800
DES1236-0707,189.10673200,-7.12225900
DES1052-4331,163.13552600,-43.53059300
DES1114-1541,168.59803300,-15.68892600
DES1314+1917,198.63474100,19.29163000
DES1241-2832,190.48126000,-28.53892600
DES1020-0207,155.03177100,-2.12503700
DES1133-2124,173.39545600,-21.40003700
DES1244+1252,191.06796200,12.86663000
DES1259+0543,194.81372900,5.72774100
DES0933-1458,143.34666100,-14.97503700
DES1206-1250,181.51300700,-12.83337000
DES0827+2708,126.79385400,27.14440700
DES1117-1041,169.27542200,-10.69170400
DES1339-0041,204.86038700,-0.69725900
DES1030-3415,157.68727500,-34.25003700
DES1032+0917,158.05964400,9.29718500
DES0839-2332,129.92130100,-23.54170400
DES0924+2500,141.07196200,25.00274100
DES1242-1958,190.72421900,-19.97225900
DES1031-3249,157.95911700,-32.82225900
DES1125-4540,171.43366600,-45.67225900
DES1056-4331,164.12019100,-43.53059300
DES0747+1751,116.76358800,17.86385200
DES1147+0001,176.99727000,0.01663000
DES1419+1417,214.83582900,14.29440700
DES0958-3832,149.54196500,-38.53337000
DES1205-3957,181.37630700,-39.96114800
DES1417-2541,214.43308900,-25.68337000
DES1431-4914,217.88921300,-49.24170400
DES0851+1917,132.83149000,19.29163000
DES1123-0958,170.87288400,-9.97781500
DES1319+0418,199.92985400,4.29996300
DES1314-2124,198.69827100,-21.40003700
DES1155-3332,178.78865600,-33.53614800
DES1307-3123,196.84187300,-31.39448100
DES1317-3332,199.34361300,-33.53614800
DES1717+0752,259.48305300,7.86940700
DES1431-2623,217.85556000,-26.39725900
DES1500-4123,225.20477600,-41.38892600
DES1531-3415,232.82531500,-34.25003700
DES1134-4623,173.73229200,-46.38614800
DES0827-0624,126.92140800,-6.40837000
DES1130-1707,172.70616900,-17.11670400
DES1457-4249,224.48430900,-42.81670400
DES0916-3123,139.13538500,-31.39448100
DES0811+2917,122.89994800,29.28607400
DES1046-1749,161.72039100,-17.83059300
DES1310-1332,197.71313300,-13.54725900
DES1731-0915,262.91836200,-9.26392600
DES1509+0500,227.45117400,5.01385200
DES1138-0541,174.70943000,-5.69448100
DES1308-1915,197.06463000,-19.25837000
DES0923-2041,140.87326800,-20.68614800
DES1441+0500,220.28486300,5.01385200
DES1700+1043,255.03996000,10.72496300
DES1114+2834,168.62056400,28.57218500
DES1623-0707,245.94250300,-7.12225900
DES1027-0416,156.96506700,-4.26670400
DES1458+0252,224.50273300,2.87218500
DES1304+1043,196.18689600,10.72496300
DES1207-0915,181.90619500,-9.26392600
DES0810+2543,122.60170100,25.71663000
DES0810+1626,122.66092700,16.43607400
DES0954-0207,148.60235000,-2.12503700
DES1023-1207,155.95373600,-12.11948100
DES0742+2708,115.56236400,27.14440700
DES1358+2751,209.72662100,27.85829600
DES1125+1500,171.46807600,15.00829600
DES1634-1749,248.70993800,-17.83059300
DES1717-1332,259.39599100,-13.54725900
DES1457-1832,224.47728600,-18.54448100
DES1450+0001,222.68616100,0.01663000
DES1216+0043,184.15802700,0.73051900
DES1045+2751,161.27841600,27.85829600
DES1117+2834,169.43345000,28.57218500
DES1644+0626,251.22274800,6.44163000
DES1330-1250,202.74618300,-12.83337000
DES1320+2334,200.07662700,23.57496300
DES1400-0250,210.19843000,-2.83892600
DES1303-2041,195.81540400,-20.68614800
DES1018-0541,154.62141000,-5.69448100
DES1356-2623,209.08868900,-26.39725900
DES0728+2126,112.10026900,21.43329600
DES0816-0624,124.04789800,-6.40837000
DES0903-2415,135.80925500,-24.25559300
DES1359-3914,209.98657300,-39.24725900
DES0832+1209,128.23422800,12.15274100
DES1314-4831,198.50451900,-48.52781500
DES1628+0126,247.06388800,1.44440700
DES1434-1749,218.71354200,-17.83059300
DES0833+0917,128.40058500,9.29718500
DES1117+2543,169.35169300,25.71663000
DES1414-4831,213.59601100,-48.52781500
DES1554-3123,238.65816800,-31.39448100
DES1304-2832,196.16966200,-28.53892600
DES1415-3415,213.82489100,-34.25003700
DES1221-0333,185.36964900,-3.55281500
DES1040+2043,160.00426100,20.71940700
DES1027-0833,156.84050900,-8.55003700
DES1241-0541,190.49287400,-5.69448100
DES0947-2623,146.92360900,-26.39725900
DES1647-2249,251.93183200,-22.82781500
DES0940-2415,145.20539200,-24.25559300
DES1535-2041,233.96966600,-20.68614800
DES1108-0124,167.07926200,-1.41114800
DES1431+1043,217.98432700,10.72496300
DES0757+0835,119.31899800,8.58329600
DES1040-0250,160.16480400,-2.83892600
DES1235+0252,188.76339200,2.87218500
DES1701-1250,255.46303500,-12.83337000
DES1017-3623,154.44695900,-36.39170400
DES1022-0958,155.65098700,-9.97781500
DES0836-0416,129.04602500,-4.26670400
DES1351+1252,207.91030300,12.86663000
DES1132-3415,173.23307700,-34.25003700
DES1726+1043,261.57918900,10.72496300
DES1117+0500,169.40405900,5.01385200
DES1626+1209,246.53538800,12.15274100
DES1110+2625,167.71832000,26.43051900
DES0825+0001,126.31115700,0.01663000
DES0940+1709,145.10938600,17.14996300
DES0956+0418,149.10066600,4.29996300
DES1247-1041,191.79695600,-10.69170400
DES1459-1958,224.90490300,-19.97225900
DES1456-2249,224.04782100,-22.82781500
DES0827+2000,126.96512800,20.00551900
DES1038+2708,159.68607500,27.14440700
DES1042-0624,160.68515200,-6.40837000
DES0904-1749,136.22345500,-17.83059300
DES1217+2334,184.49867200,23.57496300
DES1525-0041,231.27623200,-0.69725900
DES0959-0958,149.85216900,-9.97781500
DES1608+2543,242.24998500,25.71663000
DES1003+2043,150.84522500,20.71940700
DES1541+1751,235.27154600,17.86385200
DES1342-0958,205.66579300,-9.97781500
DES1507-1207,226.77952000,-12.11948100
DES1657-1124,254.37421900,-11.40559300
DES1148+3000,177.13630900,29.99996300
DES1532-2124,233.20211000,-21.40003700
DES1606-0707,241.62586200,-7.12225900
DES1658-1541,254.61372700,-15.68892600
DES1628-0541,247.16978500,-5.69448100
DES1407-1415,211.84508800,-14.26114800
DES0856-0915,134.16688200,-9.26392600
DES1522-1749,230.71210000,-17.83059300
DES1054-0207,163.60433300,-2.12503700
DES1429+0500,217.41833900,5.01385200
DES0823-0541,125.92424000,-5.69448100
DES0933-2124,143.49212900,-21.40003700
DES1239+0543,189.79143200,5.72774100
DES0927+1334,141.93668400,13.58051900
DES0859+0126,134.94770600,1.44440700
DES1120-2706,170.03928600,-27.11114800
DES0914+1751,138.51504800,17.86385200
DES0945+0001,146.30004700,0.01663000
DES1111-0124,167.79336800,-1.41114800
DES1242-1458,190.64175400,-14.97503700
DES1336-1207,204.14447600,-12.11948100
DES1337-1332,204.32201100,-13.54725900
DES1342-1041,205.60047700,-10.69170400
DES0717+1751,109.26308400,17.86385200
DES1419-2041,214.89253500,-20.68614800
DES1502-2249,225.59693300,-22.82781500
DES1119-1915,169.84123800,-19.25837000
DES1458+0835,224.72736700,8.58329600
DES1511+0209,227.90535500,2.15829600
DES1146-3249,176.64827700,-32.82225900
DES1359-1124,209.94970200,-11.40559300
DES1336-4748,204.15258500,-47.81392600
DES0720+1917,110.14071400,19.29163000
DES0944-0333,146.03015600,-3.55281500
DES1245+2417,191.47558600,24.28885200
DES1651-1624,252.85624500,-16.40281500
DES0929+2334,142.43819100,23.57496300
DES0749+1126,117.48311200,11.43885200
