TILENAME,RA_CENT,DEC_CENT
DES0026+0835,6.69087800,8.58329600
DES0041+1126,10.41472300,11.43885200
DES0055+0835,13.91063000,8.58329600
DES0053+0543,13.29356500,5.72774100
DES0100+1209,15.04484600,12.15274100
DES0018+0543,4.68391300,5.72774100
DES0020+2043,5.06389600,20.71940700
DES0012+2708,3.24746300,27.14440700
DES0015+2126,3.96356700,21.43329600
DES0116+1500,19.21327500,15.00829600
DES0220+0917,35.08305700,9.29718500
DES0317+0126,49.25380900,1.44440700
DES2203+0252,330.75341000,2.87218500
DES0309-0333,47.32378900,-3.55281500
DES0324-0416,51.01588200,-4.26670400
DES0259+0835,44.95556000,8.58329600
DES0425+0001,66.34448800,0.01663000
DES2051+0001,312.83615000,0.01663000
DES2154-0416,328.69050200,-4.26670400
DES2203-0416,330.83812100,-4.26670400
DES0211+1126,32.99377100,11.43885200
DES0319+0043,49.93600600,0.73051900
DES0419+0043,64.92889100,0.73051900
DES0352-0333,58.05274200,-3.55281500
DES0330-0958,52.72196600,-9.97781500
DES0143+1000,25.91380300,10.01107400
DES0256+1000,44.03696800,10.01107400
DES1957+0500,299.36549300,5.01385200
DES0120+1000,20.11439100,10.01107400
DES2251-0333,342.95007200,-3.55281500
DES2332-0416,353.03018000,-4.26670400
DES0400-0207,60.01921000,-2.12503700
DES0457-0958,74.46753400,-9.97781500
DES2015-0915,303.93295400,-9.26392600
DES2020-0624,305.17189300,-6.40837000
DES2032-0541,308.00178300,-5.69448100
DES0303+0252,45.80602600,2.87218500
DES0423+0626,65.86920200,6.44163000
DES0123-0958,20.82846700,-9.97781500
DES0137+1000,24.46395000,10.01107400
DES2257+0209,344.29642000,2.15829600
DES0550-0707,87.66567100,-7.12225900
DES2106-0624,316.66593400,-6.40837000
DES2150-0750,327.60514700,-7.83614800
DES2315+0500,348.81303500,5.01385200
DES0305-0124,46.39544000,-1.41114800
DES0341-0707,55.29086500,-7.12225900
DES0439-0915,69.79114200,-9.26392600
DES0445-0750,71.37413000,-7.83614800
DES0529-0624,82.38200100,-6.40837000
DES0222+1626,35.57732800,16.43607400
DES2309+1000,347.49269500,10.01107400
DES0339-0124,54.96470600,-1.41114800
DES0014+1626,3.57224500,16.43607400
DES2155-0707,328.95804800,-7.12225900
DES0408-1124,62.11073400,-11.40559300
DES0600-1458,90.13968100,-14.97503700
DES2157+1626,329.33424900,16.43607400
DES0231+0917,37.97662400,9.29718500
DES2143+0335,325.78559000,3.58607400
DES2211-0207,332.86483000,-2.12503700
DES2120-0416,320.10002800,-4.26670400
DES0018+0917,4.70060600,9.29718500
DES2203-0958,330.81366100,-9.97781500
DES0021-1832,5.35835900,-18.54448100
DES0444-1041,71.19777400,-10.69170400
DES0444-1707,71.11766500,-17.11670400
DES0239+1500,39.90810300,15.00829600
DES0449+0835,72.39061500,8.58329600
DES2142+0126,325.70225900,1.44440700
DES0310-0458,47.57003700,-4.98059300
DES0342-0541,55.61617200,-5.69448100
DES2332-0541,353.19982700,-5.69448100
DES0101-1250,15.30849000,-12.83337000
DES0041+0835,10.30075400,8.58329600
DES0123+1000,20.83931700,10.01107400
DES0231+2043,37.88377600,20.71940700
DES2331-0207,352.86747500,-2.12503700
DES0343+0626,55.81125800,6.44163000
DES0608-0207,92.16631700,-2.12503700
DES2132-0541,323.06779800,-5.69448100
DES2215-0541,333.82923600,-5.69448100
DES0610-1915,92.70829400,-19.25837000
DES0435+0335,68.78727600,3.58607400
DES0522+0001,80.62226600,0.01663000
DES2108-0041,317.12260000,-0.69725900
DES2301-0624,345.40103500,-6.40837000
DES0044-1458,11.06819600,-14.97503700
DES0415-1624,63.83537100,-16.40281500
DES0328+0835,52.17531100,8.58329600
DES0420-0958,65.04445500,-9.97781500
DES2020-0541,305.13206600,-5.69448100
DES2125-0915,321.29270400,-9.26392600
DES0331+0001,52.78059800,0.01663000
DES0402+0752,60.57654200,7.86940700
DES0002+1751,0.50578000,17.86385200
DES0000-1041,0.00066600,-10.69170400
DES0606-0333,91.67012800,-3.55281500
DES2214-0333,333.65164600,-3.55281500
DES0446-0833,71.65491000,-8.55003700
DES0234+1834,38.51387000,18.57774100
DES0331+0835,52.89728600,8.58329600
DES0438-1415,69.68356300,-14.26114800
DES2126+1209,321.73629800,12.15274100
DES2114-0458,318.71230700,-4.98059300
DES0119-0915,19.88186000,-9.26392600
DES2334-0833,353.68842900,-8.55003700
DES0513+0001,78.48059900,0.01663000
DES2122+0209,320.72136200,2.15829600
DES2218+0709,334.71792000,7.15551900
DES0533-0041,83.49029000,-0.69725900
DES2157-0124,329.27205100,-1.41114800
DES2225-0250,336.46992000,-2.83892600
DES2109-0707,317.44700500,-7.12225900
DES2356-0707,359.17453400,-7.12225900
DES0226+1751,36.50819800,17.86385200
DES2312+1709,348.21664900,17.14996300
DES0451-0541,72.83447500,-5.69448100
DES0012-1707,3.14300400,-17.11670400
DES0422-1749,65.73192500,-17.83059300
DES0439-1541,69.97659100,-15.68892600
DES0558-1749,89.72904200,-17.83059300
DES0603-0333,90.95486400,-3.55281500
DES0100-0958,15.02964900,-9.97781500
DES0617-1250,94.38376700,-12.83337000
DES0244+2000,41.11546900,20.00551900
DES0347+1500,56.90742500,15.00829600
DES0613-0707,93.42119300,-7.12225900
DES0224+1000,36.06277500,10.01107400
